player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
ScreaM,TL,"sage,kayo,skye",566,240.7,1.18,73,155.0,0.82,0.28,0.13,0.07,36,9
bruninej,bruninej,"reyna,skye,brimstone",249,240.6,1.28,73,154.4,0.86,0.30,0.08,0.05,24,21
johnqt,Ghost,"killjoy,kayo,chamber",453,240.6,1.63,80,154.0,0.90,0.22,0.12,0.06,27,33
Twisten,BIG,"raze,jett,cypher",310,240.4,1.11,67,157.6,0.85,0.16,0.22,0.15,23,18
VPNCNP,TBG,"sage,chamber,cypher",268,240.2,1.22,76,153.9,0.84,0.24,0.10,0.10,23,22
DEATHMAKER,VLT,jett,461,240.2,1.21,69,156.0,0.85,0.13,0.20,0.15,32,15
zekken,XSET,"raze,kayo,skye",492,240.1,1.27,74,154.5,0.85,0.30,0.11,0.11,21,11
qw1,FUT,"jett,sova,chamber",218,240.0,1.21,71,152.2,0.86,0.18,0.16,0.13,29,24
kat,C9W,"omen,brimstone",402,239.9,1.36,80,152.5,0.85,0.35,0.10,0.08,30,38
rosey,ARES,"killjoy,viper,brimstone",329,239.4,1.16,76,158.4,0.78,0.36,0.11,0.09,15,22
BADlove,RGE,"raze,chamber,killjoy",656,239.4,1.24,73,155.7,0.88,0.18,0.14,0.11,28,20
seven,TSM,"jett,chamber,skye",450,239.3,1.30,73,148.3,0.91,0.14,0.15,0.12,23,8
mwzera,VK,"raze,sova",483,239.1,1.20,77,161.0,0.82,0.37,0.08,0.06,20,23
Kadoom,SPE,"raze,jett",470,239.0,1.07,70,151.3,0.82,0.19,0.22,0.19,26,38
Shabi,Shabi,chamber,202,239.0,1.40,69,154.3,0.87,0.16,0.15,0.09,25,8
furbsa,furbsa,"raze,jett,kayo",424,238.9,0.99,67,156.7,0.78,0.24,0.16,0.13,27,23
ALIVE,FNST,"raze,jett,sage",583,238.9,1.21,69,155.2,0.86,0.16,0.21,0.14,25,17
LoveX,LoveX,"jett,chamber,cypher",309,238.8,1.19,73,154.5,0.84,0.16,0.10,0.10,20,8
snw,ODK,"raze,jett,viper",461,238.8,1.13,71,152.2,0.84,0.18,0.18,0.14,21,13
Deadly10,RGE,"raze,jett",656,238.8,1.16,69,150.2,0.83,0.15,0.19,0.16,26,17
DRAGON,BOBO,"raze,jett",219,238.7,1.22,72,153.9,0.83,0.17,0.21,0.19,31,19
shirazi,BRNV,"reyna,astra,viper",689,238.7,1.20,75,154.2,0.82,0.42,0.11,0.10,22,19
NoMan,OF,"raze,jett",271,238.6,1.07,70,149.8,0.79,0.17,0.25,0.17,23,3
skyelyse,skyelyse,"sage,kayo,skye",408,238.4,1.25,78,151.8,0.83,0.37,0.12,0.09,19,14
ROLEX,AAA,"raze,jett,chamber",206,238.2,1.01,70,153.4,0.80,0.18,0.16,0.13,19,
Leare,TQ,jett,260,238.1,1.12,64,152.2,0.85,0.09,0.17,0.21,34,17
Chloettw,RTS,"killjoy,sage,sova",212,238.0,1.41,82,143.4,0.84,0.33,0.08,0.06,14,25
silentzz,ODK,"sage,sova,chamber",346,237.9,1.21,75,156.4,0.81,0.29,0.08,0.07,33,12
Risorah,SRN.P,"raze,jett,neon",372,237.8,1.09,67,158.0,0.84,0.16,0.15,0.14,29,10
Jinggg,PRX,"raze,sage,kayo",699,237.8,1.11,71,156.0,0.83,0.30,0.13,0.11,20,28
kyrrz,19,"raze,jett,yoru",358,237.6,1.35,73,151.1,0.85,0.16,0.14,0.15,26,21
MaKo,DRX,"omen,astra,viper",647,237.6,1.37,79,151.2,0.81,0.40,0.10,0.05,23,14
Georggyyy,APH,jett,405,237.5,1.05,68,151.1,0.83,0.16,0.20,0.16,27,13
Kanpeki,SEN,"sage,kayo,chamber",319,237.4,1.39,79,147.9,0.83,0.38,0.15,0.07,23,17
Sayaplayer,TGRD,"raze,jett",556,237.4,1.28,72,151.1,0.85,0.14,0.16,0.14,26,12
Envious,SMG,"jett,omen",475,237.4,1.25,74,150.3,0.84,0.21,0.22,0.17,21,20
eva,BBL,"sage,sova",217,237.2,1.43,79,157.8,0.88,0.34,0.05,0.06,29,22
Will,100T,"raze,jett,chamber",385,236.9,1.16,70,147.9,0.82,0.24,0.15,0.14,16,18
dip,FWOG,"raze,jett",356,236.9,1.14,73,157.0,0.83,0.17,0.19,0.11,26,10
lunah,PLR,"jett,reyna,kayo",290,236.9,1.15,72,157.5,0.82,0.26,0.16,0.14,28,
CaspeR,OG,"astra,omen,skye",375,236.8,1.18,74,151.0,0.86,0.27,0.09,0.08,31,14
1TaPGoD,TR,"raze,jett,viper",737,236.7,1.12,66,149.5,0.83,0.16,0.20,0.18,32,12
