player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
ScherBi,BCG,astra,403,188.0,0.92,72,127.5,0.65,0.21,0.08,0.06,16,21
Carter,M4LIK,astra,876,187.9,0.90,72,123.9,0.67,0.27,0.07,0.07,26,8
Dryson,Dryson,astra,946,187.8,0.84,60,125.4,0.67,0.21,0.12,0.10,21,8
Nessa,GODS,astra,768,187.8,0.89,67,121.9,0.66,0.29,0.09,0.11,20,13
Guideyy,Guideyy,astra,306,187.8,0.83,64,122.7,0.64,0.21,0.10,0.15,29,27
GabiT,BCG,astra,469,187.7,0.93,70,124.6,0.67,0.21,0.06,0.07,21,19
Tiraye,GEN.B,astra,2026,187.5,1.00,76,120.0,0.68,0.27,0.08,0.08,24,19
sMakzy,nF,astra,391,187.4,0.89,,124.1,0.65,0.32,0.09,0.12,26,19
Real8,EGO,astra,1467,187.3,0.96,74,119.4,0.68,0.28,0.06,0.08,25,12
mittens,SHF,astra,1495,187.1,0.92,61,126.4,0.66,0.26,0.08,0.10,25,15
Xiaonuo,DTN,astra,227,187.0,0.82,64,123.4,0.67,0.20,0.13,0.15,29,9
Cohburg,Cohburg,astra,2450,186.9,0.91,69,125.9,0.65,0.22,0.08,0.10,27,15
Blush,FL,astra,1046,186.8,0.80,70,122.3,0.63,0.28,0.09,0.10,16,10
Daiyana,LUSA,astra,377,186.8,0.87,70,125.2,0.67,0.27,0.07,0.07,19,5
Sofa,TB,astra,1658,186.5,0.87,,121.9,0.63,0.29,0.07,0.09,19,11
Zoestol,Mach,astra,933,186.5,0.86,69,123.3,0.66,0.30,0.07,0.07,24,9
Clarenz,6K,astra,2238,186.4,1.00,77,120.0,0.66,0.34,0.05,0.07,17,14
Pixelzz,RGE,astra,2251,186.2,0.90,69,123.1,0.66,0.29,0.08,0.10,27,19
LuciA,LE,astra,621,186.1,0.83,67,120.2,0.62,0.30,0.08,0.09,21,11
kiRa,kiRa,astra,746,185.9,0.86,70,125.3,0.66,0.30,0.11,0.12,26,12
wudiYuChEn,FPX.ZQ,astra,1073,185.9,0.89,69,125.7,0.66,0.26,0.08,0.10,27,17
CREA,MDR,astra,2817,185.9,0.94,69,119.7,0.66,0.21,0.08,0.09,31,14
m4ndzin,Meme,astra,396,185.7,0.89,64,120.0,0.67,0.22,0.07,0.09,23,14
euroh,euroh,astra,451,185.7,0.83,57,118.6,0.66,0.22,0.13,0.17,21,14
rise,CLG,astra,2973,185.7,0.98,73,122.4,0.66,0.29,0.06,0.07,20,16
ERMAAAK,INF,astra,751,185.6,0.89,65,118.1,0.66,0.30,0.08,0.12,26,16
4Ebananafone,Zelo,astra,210,185.5,0.70,,115.2,0.61,0.19,0.07,0.09,18,3
gak,SG,astra,377,185.5,0.90,65,121.3,0.67,0.24,0.08,0.08,33,12
2w1ns,Team,astra,218,185.4,0.91,66,120.6,0.67,0.28,0.07,0.07,27,21
Hatz,FL,astra,998,185.4,0.88,69,121.3,0.65,0.25,0.10,0.10,22,13
h6tedthemost,UNta,astra,1435,185.4,1.01,75,126.4,0.67,0.29,0.06,0.07,26,18
PsYch0,CE,astra,247,185.3,0.81,62,124.1,0.64,0.23,0.06,0.09,25,8
1KAPUMBA,1KAPUMBA,astra,286,185.3,1.15,,129.2,0.68,0.34,0.07,0.07,29,15
canefis,TGH,astra,530,185.1,0.90,67,122.0,0.67,0.22,0.07,0.10,26,10
Lzg,Real,astra,477,185.1,0.91,69,122.6,0.68,0.27,0.08,0.10,31,16
Spyko,Synt,astra,728,184.9,0.95,,118.0,0.66,0.27,0.09,0.09,22,10
Tetranyan,SBL,astra,222,184.9,0.75,,126.2,0.62,0.23,0.07,0.08,19,
SmK,ROLO,astra,382,184.7,0.91,73,123.2,0.65,0.32,0.04,0.04,21,10
Affe,Affe,astra,222,184.6,0.88,,112.0,0.64,0.26,0.06,0.06,19,11
GetGreedy,CN,astra,1263,184.4,0.88,,120.5,0.65,0.28,0.07,0.10,18,18
Sing,KPC,astra,592,184.4,0.98,66,125.3,0.68,0.20,0.07,0.08,25,19
Musse,Musse,astra,228,184.3,0.78,67,120.0,0.63,0.17,0.14,0.12,19,14
hyouka,RIG,astra,1120,184.3,0.93,69,122.0,0.64,0.27,0.07,0.08,21,11
Rixad,Rixad,astra,538,184.2,0.78,,121.1,0.64,0.20,0.07,0.08,27,8
Cooper,ABX,astra,401,184.1,0.99,,126.3,0.64,0.22,0.09,0.09,27,14
ciao,WHIT,astra,1075,183.8,0.93,71,128.4,0.66,0.29,0.07,0.07,24,12
rainssa,SMBF,astra,1908,183.7,0.94,70,122.3,0.66,0.33,0.07,0.11,22,9
Heero,Flui,astra,402,183.6,0.88,64,128.0,0.65,0.32,0.06,0.09,26,15
mxuga,NPB,astra,200,183.5,0.73,,117.0,0.62,0.28,0.07,0.14,22,11
Kasper,FL,astra,345,183.5,0.90,61,122.2,0.69,0.23,0.08,0.10,26,21
Noodle,Noodle,astra,269,183.4,0.82,65,119.7,0.62,0.32,0.07,0.09,25,9
Hakuja,SOLA,astra,379,183.2,0.85,,118.4,0.64,0.26,0.08,0.08,18,22
ESUH,RGN,astra,712,183.2,0.75,67,122.3,0.62,0.22,0.07,0.09,22,9
Kim,RIX,astra,2206,183.2,0.97,73,119.0,0.66,0.38,0.07,0.08,17,20
mi1dsterr,mi1dsterr,astra,251,183.2,0.84,69,125.0,0.61,0.29,0.09,0.09,24,18
v1xen,VK,astra,3158,183.1,1.00,72,121.5,0.66,0.29,0.07,0.06,22,11
dre,TLPR,astra,1046,183.0,0.84,68,124.5,0.63,0.31,0.08,0.09,32,12
bl0ckediee,aim_,astra,220,182.5,0.74,,118.5,0.61,0.24,0.07,0.11,18,3
pkr,VALK,astra,268,182.3,0.78,69,123.6,0.60,0.26,0.10,0.07,16,9
Velocity,UYU,astra,996,182.1,0.78,71,123.8,0.61,0.38,0.06,0.08,23,9
Skuzmi,Alte,astra,231,181.9,0.80,,126.1,0.64,0.17,0.04,0.11,26,13
Veryut1n,ODIUM,astra,811,181.6,0.79,59,117.2,0.63,0.27,0.10,0.15,24,12
BabciaJuzia,BabciaJuzia,astra,996,181.3,0.87,66,115.5,0.63,0.26,0.09,0.10,23,8
Cloudey,AE,astra,744,181.1,0.81,65,123.7,0.63,0.33,0.06,0.08,25,16
TonyV,Exot,astra,832,181.0,0.82,,121.2,0.62,0.18,0.07,0.10,20,10
meyi,HZE,astra,281,180.9,0.93,73,124.4,0.62,0.26,0.07,0.09,23,13
juv11,juv11,astra,594,180.6,0.83,67,121.1,0.65,0.26,0.07,0.08,33,9
rin,iG,astra,746,180.6,0.89,64,115.6,0.64,0.20,0.06,0.10,23,13
fletcher,Proj,astra,2826,180.5,0.95,70,121.9,0.65,0.29,0.06,0.06,29,12
Treelover,UOL,astra,517,180.5,0.91,62,122.2,0.66,0.25,0.06,0.07,26,24
jekor,TLPR,astra,1019,180.4,0.80,64,123.3,0.63,0.26,0.08,0.10,29,13
mindfreak,PRX,astra,4274,180.4,1.04,74,117.8,0.66,0.28,0.07,0.07,25,19
tweethy,tweethy,astra,384,180.3,0.86,70,118.5,0.63,0.23,0.08,0.09,25,14
taraN,PLRN,astra,383,180.2,0.88,73,116.8,0.64,0.27,0.08,0.09,23,19
maithority,UYU,astra,1006,180.1,0.82,,122.5,0.62,0.28,0.04,0.06,22,11
RCSoldier,OBM,astra,329,180.1,0.78,57,113.5,0.63,0.20,0.12,0.15,22,7
GOLD,DSP,astra,629,180.1,0.98,73,120.4,0.66,0.32,0.06,0.03,30,13
